alg,lambda_,degree,constant,numruns,gen_number,cnt,av_min_loss,std_min_loss,av_max_span,std_max_span,av_av_tdepth,std_av_tdepth,av_av_tsize,std_av_tsize,av_cnt_event,std_cnt_event
canonical-ea,500,100,none,100,0,100,59.39283956344483,11.177474053183065,5.64,0.7683749084919419,3.9256999999999995,0.06480516954688108,17.383200000000002,0.7987121634230947,15.27,3.4142495515120155
canonical-ea,500,100,none,100,1,100,58.23473122049153,11.588424284436206,5.39,0.9153687781435415,4.047329317269077,0.09630068846916666,14.77763052208835,0.9747856910281205,15.27,3.4142495515120155
canonical-ea,500,100,none,100,2,100,54.43221645216714,10.758866458779131,5.45,0.9420721840708386,4.284899598393574,0.12097232192752828,15.177710843373493,1.3176862126044366,15.27,3.4142495515120155
canonical-ea,500,100,none,100,3,100,47.825856760190746,11.08860977408409,5.83,0.938669270829721,4.585381526104417,0.15492315466667128,16.667831325301204,1.7355354004106662,15.27,3.4142495515120155
canonical-ea,500,100,none,100,4,100,44.63389443976929,10.329525716580251,6.18,1.0037928073063682,4.939618473895582,0.19540004844574083,18.839799196787148,2.280585652107397,15.27,3.4142495515120155
canonical-ea,500,100,none,100,5,100,42.15658010067756,10.674991656732788,6.52,1.153082824431966,5.292710843373493,0.21740875017391323,21.159839357429718,2.666882460906245,15.27,3.4142495515120155
canonical-ea,500,100,none,100,6,100,39.32062305385142,9.603520310101928,7.0,1.3564659966250536,5.643313253012049,0.2446331496284399,23.49461847389558,3.144248636080196,15.27,3.4142495515120155
canonical-ea,500,100,none,100,7,100,38.73534870541819,9.132972991373375,7.66,1.563457706495446,5.964678714859438,0.2601349775192236,25.64369477911647,3.5589579741242905,15.27,3.4142495515120155
canonical-ea,500,100,none,100,8,100,35.59316021293958,8.346106028050668,7.78,1.4531345429794171,6.308092369477911,0.2738044777464376,27.953212851405628,3.865017900756916,15.27,3.4142495515120155
canonical-ea,500,100,none,100,9,100,34.077216474655046,7.434183466133133,8.42,1.2898061869908983,6.643413654618473,0.2907978828236188,30.148112449799203,4.1388775073508155,15.27,3.4142495515120155
canonical-ea,500,100,none,100,10,100,31.842844103624362,7.675524178489809,8.95,1.4378803844548405,6.943975903614459,0.3142331617764119,32.08787148594378,4.325430048086025,15.27,3.4142495515120155
canonical-ea,500,100,none,100,11,100,30.218229745504736,6.708485114003412,9.25,1.9512816301087856,7.216465863453815,0.33653624028018,33.79453815261044,4.335487802196219,15.27,3.4142495515120155
canonical-ea,500,100,none,100,12,100,28.707096032858935,7.315242171951898,9.84,1.9116485032557633,7.496867469879517,0.38475397594579414,35.60526104417671,4.648595029621681,15.27,3.4142495515120155
canonical-ea,500,100,none,100,13,100,27.6898178287283,6.834075869154981,10.51,2.3086576186173646,7.7600401606425695,0.4236591374262598,37.28871485943775,4.764435142463194,15.27,3.4142495515120155
canonical-ea,500,100,none,100,14,100,26.07454515095947,6.72457969382296,11.03,2.2201576520598714,8.034317269076306,0.49199746612075895,38.97742971887551,5.09086949707555,15.27,3.4142495515120155
canonical-ea,500,100,none,100,15,100,24.340864155135975,6.84043856915689,11.49,2.5278251521812183,8.282730923694778,0.5238773796520962,40.50008032128514,5.3597926690500195,15.27,3.4142495515120155
canonical-ea,500,100,none,100,16,100,22.930907640353386,6.4941986612834155,11.83,1.990251240421671,8.48487951807229,0.5827275646251501,41.774738955823295,5.5303001984663265,15.27,3.4142495515120155
canonical-ea,500,100,none,100,17,100,22.019632577554063,5.770369500804668,12.44,2.174028518672191,8.735160642570282,0.6463949862135107,43.19803212851406,5.935961234581573,15.27,3.4142495515120155
canonical-ea,500,100,none,100,18,100,20.8610193266445,5.743244833750716,13.19,2.3861894308709024,8.949437751004018,0.6872202613088663,44.41425702811245,6.225152148653289,15.27,3.4142495515120155
